Site,Year,Species,Band No,Date,Age,Sex,Fat,Wing,Mass,F tissue code,corr dD non-ex H,corr dD ex + non-ex H,C tissue code,Linear corr d13C,wt %C,wt %N,Linear corr d15N,,,,,,,,
JOB,2012,AMRE,2630-01098,04/17/12,ASY,F,2,60,7.6,JOAM10,-44.59,-17.09,JOAM10,-22.39,47.77,14.71,no_data,,,,,,,,
JOB,2012,AMRE,2630-01132,04/27/12,SY,M,3,60,9.7,JOAM11,-150.92,-133.81,JOAM11,-21.9,48.32,15.21,no_data,,,,,,,,
JOB,2012,AMRE,2630-01133,04/27/12,ASY,M,2,62,8.1,JOAM12,-49.41,-22.38,JOAM12,-23.02,47.99,15,no_data,,,,,,,,
JOB,2012,AMRE,2630-01135,04/29/12,ASY,M,4,62,8.9,JOAM13,-156.23,-139.64,JOAM13,-22.31,48.6,14.9,no_data,,,,,,,,
JOB,2012,AMRE,2630-01136,04/29/12,ASY,M,4,62.5,8.5,JOAM14,-90.13,-67.08,JOAM14,-23.91,48.17,14.85,no_data,,,,,,,,
JOB,2012,AMRE,2630-01143,05/02/12,ASY,M,2,62,7.1,JOAM15,-95.41,-72.87,JOAM15,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,AMRE,2630-01146,05/02/12,SY,F,1,59,7,JOAM16,-141.13,-123.06,JOAM16,-22.17,47.99,14.78,no_data,,,,,,,,
JOB,2012,AMRE,2630-01154,05/08/12,ASY,M,2,62,7.4,JOAM17,-147.95,-130.55,JOAM17,-22.12,49.02,15.18,no_data,,,,,,,,
JOB,2012,AMRE,2630-01155,05/08/12,SY,M,1,58.5,7.4,JOAM18,-93.59,-70.88,JOAM18,-20.41,49.3,15.49,no_data,,,,,,,,
JOB,2012,AMRE,2630-01198,05/09/12,SY,F,1,60.5,7.4,JOAM19,-38.9,-10.85,JOAM19,-21.36,48.97,15.15,no_data,,,,,,,,
JOB,2012,AMRE,2630-01054,04/07/12,ASY,M,1,61,6.6,JOAM1a,-60.3,-34.34,JOAM1a,-23.09,40.71,11.69,no_data,,,,,,,,
JOB,2012,AMRE,2630-01054,04/07/12,ASY,M,1,61,6.6,JOAM1b,-57.97,-31.78,JOAM1b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,AMRE,2630-01055,04/07/12,ASY,M,1,64,7.3,JOAM2,-49.51,-22.49,JOAM2,-23.2,48.52,15.05,no_data,,,,,,,,
JOB,2012,AMRE,2630-01199,05/09/12,ASY,M,1,62,6.9,JOAM20,-92.64,-69.84,JOAM20,-23.11,49.22,15.25,no_data,,,,,,,,
JOB,2012,AMRE,2630-01238,05/10/12,SY,F,1,55.5,7.4,JOAM21,-134.91,-116.23,JOAM21,-21.1,48.79,15.07,no_data,,,,,,,,
JOB,2012,AMRE,2630-01258,05/12/12,SY,M,1,61.5,7.7,JOAM22,-153.96,-137.15,JOAM22,-23,48.76,15.14,no_data,,,,,,,,
JOB,2012,AMRE,2630-01061,04/08/12,ASY,M,1,64,6.5,JOAM3,-54.08,-27.51,JOAM3,-22.75,47.25,14.95,no_data,,,,,,,,
JOB,2012,AMRE,2630-01062,04/08/12,ASY,M,1,61,7.5,JOAM4,-56.26,-29.9,JOAM4,-22.8,48.49,15.32,no_data,,,,,,,,
JOB,2012,AMRE,2630-01068,04/09/12,ASY,M,1,64,no_data,JOAM5,-59.99,-34,JOAM5,-23.34,47.21,15,no_data,,,,,,,,
JOB,2012,AMRE,2630-01085,04/10/12,ASY,M,1,62.5,7.1,JOAM6,-64.72,-39.18,JOAM6,-20.95,47.54,15.34,no_data,,,,,,,,
JOB,2012,AMRE,2630-01091,04/13/12,ASY,F,2,60,7,JOAM7,-39.08,-11.04,JOAM7,-22.97,44.84,13.91,no_data,,,,,,,,
JOB,2012,AMRE,2630-01095,04/16/12,ASY,M,2,65,8.4,JOAM8,-48.45,-21.33,JOAM8,-22.92,47.52,14.65,no_data,,,,,,,,
JOB,2012,AMRE,2630-01096,04/16/12,AHY,U,3,58,7.9,JOAM9,-54.53,-28,JOAM9,-22.72,47.51,15.52,no_data,,,,,,,,
MAD,2012,AMRE,2570-44843,05/09/12,SY,M,1,54,6.7,MAAM1,-130.75,-111.67,MAAM1,-22.11,49.37,15.27,no_data,,,,,,,,
MAD,2012,AMRE,2620-74919,04/16/12,ASY,F,3,60,8.1,MAAM2,-43.82,-16.24,MAAM2,-22.42,49.56,15.13,no_data,,,,,,,,
MAD,2012,AMRE,2620-74920,04/16/12,ASY,F,2,60,7.1,MAAM3,-47.63,-22.33,MAAM3,-21.94,47.95,14.67,no_data,,,,,,,,
MAD,2012,AMRE,2620-74954,04/23/12,ASY,M,1,61,7.9,MAAM4a,-48.6,-23.37,MAAM4a,-22.97,48.2,15.12,no_data,,,,,,,,
